Sch_Net_No,District Areas,Districts
65,KWAI HING,New Territories & Island
65,HA KWAI CHUNG,New Territories & Island
66,TSING YI,New Territories & Island
70,TUEN MUN WEST,New Territories & Island
70,NEIGHBOURING AREAS OF TUEN MUN FERRY PIER,New Territories & Island
70,BUTTERFLY ESTATE,New Territories & Island
70,WU KING ESTATE,New Territories & Island
70,PAK KOK,New Territories & Island
70,LUNG KWU TAN,New Territories & Island
70,CHUNG UK TSUEN,New Territories & Island
70,"LAM TEI, KEI LUN WAI",New Territories & Island
70,SIU HONG COURT,New Territories & Island
70,TAI HING ESTATE,New Territories & Island
70,SHEK PAI TAU,New Territories & Island
70,SHAN KING ESTATE,New Territories & Island
70,"KAU HUI, LEUNG KING ESTATE",New Territories & Island
70,TIN KING ESTATE,New Territories & Island
70,KIN SANG ESTATE,New Territories & Island
70,BOTANIA VILLA,New Territories & Island
71,TUEN MUN EAST,New Territories & Island
71,"FU TEI, TSENG TAU TSUEN",New Territories & Island
71,SAN HUI,New Territories & Island
71,YAU OI ESTATE,New Territories & Island
71,"ON TING ESTATE,",New Territories & Island
71,TUEN MUN TOWN PLAZA,New Territories & Island
71,SAM SHING ESTATE,New Territories & Island
71,SO KWUN WAT,New Territories & Island
71,TAI LAM CHUNG,New Territories & Island
71,PRIME VIEW GARDEN,New Territories & Island
71,GOLD COAST,New Territories & Island
71,FU TAI ESTATE,New Territories & Island
72,TIN SHUI WAI,New Territories & Island
72,PING SHAN,New Territories & Island
72,HA TSUEN,New Territories & Island
72,MONG TSENG,New Territories & Island
72,LAU FAU SHAN,New Territories & Island
72,HUNG SHUI KIU,New Territories & Island
72,NIM WAN,New Territories & Island
73,YUEN LONG WEST,New Territories & Island
73,"NG UK, WANG CHAU",New Territories & Island
73,FUNG CHI VILLAGE,New Territories & Island
73,FRASER VILLAGE,New Territories & Island
73,MA TIN TSUEN,New Territories & Island
73,LUNG TIN TSUEN,New Territories & Island
73,SHAN HA TSUEN,New Territories & Island
73,LONG PING,New Territories & Island
73,HUNG CHO TIN TSUEN,New Territories & Island
73,PAK SHA TSUEN,New Territories & Island
73,TAI TONG TSUEN,New Territories & Island
73,YEUNG KA TSUEN,New Territories & Island
73,MUK KIU TAU TSUEN,New Territories & Island
73,WONG NAI TUN,New Territories & Island
73,SHUI PIN WAI,New Territories & Island
73,CHUN HING SAN TSUEN,New Territories & Island
74,YUEN LONG EAST,New Territories & Island
74,YUEN LONG TOWN CENTRE (EAST),New Territories & Island
74,YUEN LONG KAU HUI,New Territories & Island
74,"AU TAU, SHAN PUI",New Territories & Island
74,SHAP PAT HEUNG,New Territories & Island
74,NAM HANG,New Territories & Island
74,KAM TIN,New Territories & Island
74,PAT HEUNG,New Territories & Island
74,SHEK KONG,New Territories & Island
74,NAM SANG WAI,New Territories & Island
74,TAI SANG WAI,New Territories & Island
74,FUNG KAT HEUNG,New Territories & Island
74,SHA PO,New Territories & Island
74,YAU TAM MEI,New Territories & Island
74,FAIRVIEW PARK,New Territories & Island
74,PALM SPRINGS,New Territories & Island
74,MAI PO,New Territories & Island
74,SAN TIN,New Territories & Island
74,LOK MA CHAU,New Territories & Island
80,SHEUNG SHUI,New Territories & Island
81,FANLING,New Territories & Island
81,MA MEI HA,New Territories & Island
81,TA KU LING,New Territories & Island
83,SHA TAU KOK,New Territories & Island
84,TAI PO,New Territories & Island
84,TAI MEI TUK,New Territories & Island
84,KAU LUNG HANG,New Territories & Island
84,LAM TSUEN,New Territories & Island
84,CHEUNG SHU TAN,New Territories & Island
88,TAI WAI,New Territories & Island
89,MA ON SHAN,New Territories & Island
89,SHAP SZE HEUNG,New Territories & Island
91,SHATIN TOWN CENTRE,New Territories & Island
91,FO TAN,New Territories & Island
91,MA LIU SHUI,New Territories & Island
91,YUEN CHAU KOK,New Territories & Island
91,CITY ONE SHATIN ,New Territories & Island
91,SIU LEK YUEN,New Territories & Island
91,SHEK MUN,New Territories & Island
95,SAI KUNG,New Territories & Island
95,LEUNG SHUEN WAN,New Territories & Island
95,TSEUNG KWAN O,New Territories & Island
95,TSENG LAN SHUE,New Territories & Island
95,CLEAR WATER BAY,New Territories & Island
96,LAMMA ISLAND,New Territories & Island
96,PO TOI ISLAND,New Territories & Island
97,CHEUNG CHAU,New Territories & Island
97,SOKO ISLANDS,New Territories & Island
98,LANTAU ISLAND (EXCLUDING NORTH-EAST LANTAU),New Territories & Island
98,TUNG CHUNG,New Territories & Island
99,PENG CHAU,New Territories & Island
99,TAI PAK WAN,New Territories & Island
99,NIM SHUE WAN,New Territories & Island
99,DISCOVERY BAY,New Territories & Island
